223906=EmployeeID223906namePrefix='Dr.', firstName='Kurt', middleInitial='C', LastName='Atwater', gender='X', email='kurt.atwater@aol.com', dateOfBirth=1991-11-25, dateOfJoining=2016-03-22, salary=126624
729802=EmployeeID729802namePrefix='Prof.', firstName='Jae', middleInitial='A', LastName='Rau', gender='M', email='jae.rau@outlook.com', dateOfBirth=1981-12-13, dateOfJoining=2012-12-24, salary=-193731
802769=EmployeeID802769namePrefix='Ms.', firstName='Despina', middleInitial='F', LastName='Ayers', gender='X', email='despina.ayers@gmail.com', dateOfBirth=1995-07-18, dateOfJoining=2016-08-16, salary=125038
130519=EmployeeID130519namePrefix='Hon.', firstName='Samuel', middleInitial='O', LastName='Brill', gender='X', email='samuel.brill@charter.net', dateOfBirth=1974-11-18, dateOfJoining=1999-09-19, salary=187334
314841=EmployeeID314841namePrefix='Ms.', firstName='Kymberly', middleInitial='Q', LastName='Marler', gender='F', email='kymberly.marler@ibm.com', dateOfBirth=1969-08-28, dateOfJoining=2008-06-03, salary=-125170
169102=EmployeeID169102namePrefix='Ms.', firstName='Giuseppina', middleInitial='C', LastName='Farley', gender='X', email='giuseppina.farley@aol.com', dateOfBirth=1959-07-04, dateOfJoining=2001-09-24, salary=160519
185069=EmployeeID185069namePrefix='Hon.', firstName='Leonila', middleInitial='G', LastName='Heflin', gender='F', email='leonila.heflin@charter.net', dateOfBirth=1962-03-01, dateOfJoining=1999-11-19, salary=-121059
594882=EmployeeID594882namePrefix='Mrs.', firstName='Maxima', middleInitial='J', LastName='Rex', gender='X', email='maxima.rex@hotmail.co.uk', dateOfBirth=1972-03-20, dateOfJoining=2010-01-23, salary=75685
676073=EmployeeID676073namePrefix='Mr.', firstName='Adan', middleInitial='J', LastName='Walther', gender='X', email='adan.walther@apple.com', dateOfBirth=1993-03-23, dateOfJoining=2015-12-23, salary=193815
465043=EmployeeID465043namePrefix='Dr.', firstName='Korey', middleInitial='H', LastName='Madore', gender='X', email='korey.madore@gmail.com', dateOfBirth=1995-09-22, dateOfJoining=2016-10-16, salary=79423
254723=EmployeeID254723namePrefix='Mr.', firstName='Hai', middleInitial='I', LastName='Hogg', gender='X', email='hai.hogg@comcast.net', dateOfBirth=1960-11-16, dateOfJoining=2000-06-12, salary=142533
183291=EmployeeID183291namePrefix='Drs.', firstName='Linnie', middleInitial='C', LastName='Mowery', gender='X', email='linnie.mowery@hotmail.com', dateOfBirth=1993-03-06, dateOfJoining=2014-11-06, salary=195095
636130=EmployeeID636130namePrefix='Ms.', firstName='Josefina', middleInitial='O', LastName='Regan', gender='X', email='josefina.regan@hotmail.co.uk', dateOfBirth=1958-03-08, dateOfJoining=1996-04-09, salary=63744
154198=EmployeeID154198namePrefix='Mr.', firstName='Hiram', middleInitial='B', LastName='Bowers', gender='X', email='hiram.bowers@walmart.com', dateOfBirth=1969-01-01, dateOfJoining=2001-03-09, salary=157358
481713=EmployeeID481713namePrefix='Mr.', firstName='Deandre', middleInitial='L', LastName='Freeze', gender='M', email='deandre.freeze@gmail.com', dateOfBirth=1964-04-13, dateOfJoining=1987-08-22, salary=-177512
297549=EmployeeID297549namePrefix='Drs.', firstName='Janella', middleInitial='I', LastName='Metz', gender='X', email='janella.metz@sbcglobal.net', dateOfBirth=1964-04-25, dateOfJoining=2016-09-07, salary=171960
620492=EmployeeID620492namePrefix='Mrs.', firstName='Crystal', middleInitial='U', LastName='Sparkman', gender='X', email='crystal.sparkman@exxonmobil.com', dateOfBirth=1990-12-21, dateOfJoining=2012-01-20, salary=185461
726003=EmployeeID726003namePrefix='Mr.', firstName='Brenton', middleInitial='F', LastName='Saucedo', gender='X', email='brenton.saucedo@charter.net', dateOfBirth=1969-06-13, dateOfJoining=2014-08-09, salary=173056
963461=EmployeeID963461namePrefix='Mr.', firstName='Taylor', middleInitial='I', LastName='Mcgraw', gender='X', email='taylor.mcgraw@sbcglobal.net', dateOfBirth=1979-02-06, dateOfJoining=2000-03-05, salary=104382
672878=EmployeeID672878namePrefix='Mr.', firstName='Reid', middleInitial='E', LastName='Mackie', gender='X', email='reid.mackie@gmail.com', dateOfBirth=1971-11-11, dateOfJoining=2007-12-05, salary=60974
778241=EmployeeID778241namePrefix='Drs.', firstName='Barbar', middleInitial='I', LastName='Houghton', gender='X', email='barbar.houghton@yahoo.com', dateOfBirth=1960-03-09, dateOfJoining=1996-10-05, salary=131033
524308=EmployeeID524308namePrefix='Mrs.', firstName='Yer', middleInitial='Y', LastName='Whitten', gender='X', email='yer.whitten@gmail.com', dateOfBirth=1989-10-04, dateOfJoining=2012-05-01, salary=159583
356131=EmployeeID356131namePrefix='Hon.', firstName='Dominick', middleInitial='I', LastName='Yager', gender='M', email='dominick.yager@aol.com', dateOfBirth=3000-05-20, dateOfJoining=2009-12-18, salary=93696
557921=EmployeeID557921namePrefix='Prof.', firstName='Pat', middleInitial='C', LastName='Nemeth', gender='M', email='pat.nemeth@gmail.com', dateOfBirth=1974-02-21, dateOfJoining=2016-10-13, salary=-195429
893595=EmployeeID893595namePrefix='Mr.', firstName='Hobert', middleInitial='V', LastName='Gustafson', gender='X', email='hobert.gustafson@hotmail.com', dateOfBirth=1980-06-12, dateOfJoining=2001-10-11, salary=97646
143158=EmployeeID143158namePrefix='Mr.', firstName='Ian', middleInitial='G', LastName='Freeze', gender='X', email='ian.freeze@gmail.com', dateOfBirth=1986-05-11, dateOfJoining=2012-04-06, salary=58886
508642=EmployeeID508642namePrefix='Hon.', firstName='Eula', middleInitial='K', LastName='Gammon', gender='X', email='eula.gammon@comcast.net', dateOfBirth=1978-11-02, dateOfJoining=2002-08-20, salary=185191
128657=EmployeeID128657namePrefix='Mr.', firstName='Margarito', middleInitial='W', LastName='Dyer', gender='X', email='margarito.dyer@msn.com', dateOfBirth=1986-05-25, dateOfJoining=2007-12-10, salary=64899
137763=EmployeeID137763namePrefix='Mr.', firstName='Bennie', middleInitial='M', LastName='Lillard', gender='X', email='bennie.lillard@gmail.com', dateOfBirth=1987-02-25, dateOfJoining=2014-10-29, salary=125855
958471=EmployeeID958471namePrefix='Mr.', firstName='Leroy', middleInitial='O', LastName='Session', gender='X', email='leroy.session@gmail.com', dateOfBirth=1987-02-27, dateOfJoining=2017-07-12, salary=187918
621694=EmployeeID621694namePrefix='Ms.', firstName='Mackenzie', middleInitial='F', LastName='Hillman', gender='X', email='mackenzie.hillman@outlook.com', dateOfBirth=1963-12-18, dateOfJoining=2002-01-21, salary=118216
540721=EmployeeID540721namePrefix='Mr.', firstName='Alejandro', middleInitial='P', LastName='Doyon', gender='X', email='alejandro.doyon@gmail.com', dateOfBirth=1984-05-13, dateOfJoining=2013-09-11, salary=66785
176890=EmployeeID176890namePrefix='Mr.', firstName='Cory', middleInitial='T', LastName='Settle', gender='X', email='cory.settle@yahoo.com', dateOfBirth=1975-07-04, dateOfJoining=2005-06-15, salary=168015
371411=EmployeeID371411namePrefix='Prof.', firstName='Quinton', middleInitial='N', LastName='Perri', gender='M', email='quinton.perri@shell.com', dateOfBirth=1960-06-03, dateOfJoining=1995-07-19, salary=-118058
463317=EmployeeID463317namePrefix='Mr.', firstName='Hoyt', middleInitial='K', LastName='Denis', gender='X', email='hoyt.denis@aol.com', dateOfBirth=1971-09-25, dateOfJoining=1999-12-29, salary=47930
943027=EmployeeID943027namePrefix='Mrs.', firstName='Alesha', middleInitial='H', LastName='Ornelas', gender='X', email='alesha.ornelas@yahoo.com', dateOfBirth=1975-08-18, dateOfJoining=2001-06-02, salary=71310
674621=EmployeeID674621namePrefix='Mrs.', firstName='Deana', middleInitial='T', LastName='Muldoon', gender='X', email='deana.muldoon@aol.com', dateOfBirth=1976-12-19, dateOfJoining=2016-06-02, salary=87909
766806=EmployeeID766806namePrefix='Prof.', firstName='Yong', middleInitial='X', LastName='Haugen', gender='X', email='yong.haugen@hotmail.com', dateOfBirth=1984-04-20, dateOfJoining=2005-05-03, salary=44072
206875=EmployeeID206875namePrefix='Mr.', firstName='Emil', middleInitial='Y', LastName='Bost', gender='X', email='emil.bost@gmail.com', dateOfBirth=1995-06-28, dateOfJoining=2017-05-12, salary=118343
668065=EmployeeID668065namePrefix='Mrs.', firstName='Deja', middleInitial='H', LastName='Niemeyer', gender='F', email='deja.niemeyer@gmail.com', dateOfBirth=3000-09-04, dateOfJoining=2012-06-05, salary=130000
795967=EmployeeID795967namePrefix='Dr.', firstName='Jess', middleInitial='W', LastName='Holifield', gender='X', email='jess.holifield@hotmail.com', dateOfBirth=1975-02-26, dateOfJoining=2002-05-10, salary=142105
467202=EmployeeID467202namePrefix='Mr.', firstName='Jose', middleInitial='Y', LastName='Hogan', gender='X', email='jose.hogan@gmail.com', dateOfBirth=1983-04-18, dateOfJoining=2004-08-09, salary=173220
619807=EmployeeID619807namePrefix='Mrs.', firstName='Hildred', middleInitial='H', LastName='Freeland', gender='X', email='hildred.freeland@rediffmail.com', dateOfBirth=1959-09-16, dateOfJoining=2013-02-24, salary=124830
